action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,158242,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1Oc2ccccc2N(CC(=O)O)C(=O)[C@H]1NC(=O)[C@@H](S)Cc1ccccc1,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '17.96', 'le': '0.35', 'lle': '5.53', 'sei': '7.76'}",CHEMBL50559,,CHEMBL50559,7.44,0,http://www.openphacts.org/units/Nanomolar,85904,=,1,1,=,,IC50,nM,,36.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,36.0
,,159432,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CCN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CSc2ccccc21,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '18.24', 'le': '0.37', 'lle': '5.22', 'sei': '9.06'}",CHEMBL299441,,CHEMBL299441,7.85,0,http://www.openphacts.org/units/Nanomolar,85901,=,1,1,=,,IC50,nM,,14.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,14.0
,,160674,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '23.04', 'le': '0.46', 'lle': '7.04', 'sei': '9.69'}",CHEMBL299181,,CHEMBL299181,8.40,0,http://www.openphacts.org/units/Nanomolar,85892,=,1,1,=,,IC50,nM,,4.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,4.0
,,160678,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H]1Oc2ccccc2N(CCC(=O)O)C(=O)[C@H]1NC(=O)[C@@H](S)Cc1ccccc1,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '18.07', 'le': '0.35', 'lle': '5.44', 'sei': '8.07'}",CHEMBL52733,,CHEMBL52733,7.75,0,http://www.openphacts.org/units/Nanomolar,85899,=,1,1,=,,IC50,nM,,18.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,18.0
,,161850,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CCN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)COc2ccccc21,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '18.12', 'le': '0.35', 'lle': '5.60', 'sei': '7.83'}",CHEMBL301751,,CHEMBL301751,7.51,0,http://www.openphacts.org/units/Nanomolar,85900,=,1,1,=,,IC50,nM,,31.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,31.0
,,163200,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CSc2ccccc21,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '18.93', 'le': '0.38', 'lle': '5.65', 'sei': '9.09'}",CHEMBL298388,,CHEMBL298388,7.89,0,http://www.openphacts.org/units/Nanomolar,85893,=,1,1,=,,IC50,nM,,13.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,13.0
,,164358,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)COc2ccccc21,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '20.16', 'le': '0.39', 'lle': '6.59', 'sei': '8.71'}",CHEMBL51389,,CHEMBL51389,8.36,0,http://www.openphacts.org/units/Nanomolar,85905,=,1,1,=,,IC50,nM,,4.4,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,4.4
,,166785,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CCc2ccccc21,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '19.88', 'le': '0.39', 'lle': '5.84', 'sei': '9.13'}",CHEMBL299639,,CHEMBL299639,7.92,1,http://www.openphacts.org/units/Nanomolar,85896,=,1,1,=,,IC50,nM,,12.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,12.0
,,168193,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H]1Oc2ccccc2N(CC(=O)O)C(=O)[C@H]1NC(=O)[C@@H](S)Cc1ccccc1,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '19.03', 'le': '0.37', 'lle': '5.98', 'sei': '8.22'}",CHEMBL53879,,CHEMBL53879,7.89,0,http://www.openphacts.org/units/Nanomolar,85898,=,1,1,=,,IC50,nM,,13.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,13.0
,,169362,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)COc2ccccc21,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '18.86', 'le': '0.37', 'lle': '6.03', 'sei': '7.87'}",CHEMBL54036,,CHEMBL54036,7.55,0,http://www.openphacts.org/units/Nanomolar,85897,=,1,1,=,,IC50,nM,,28.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,28.0
